Q9VUR1	Q92759
Q19496	Q96RI1
Q9VQ37	Q00325
O76767	P24390
A1Z7K9	Q504Q3
Q9VIT9	P01024
Q499E6	Q9NX04
O17917	O15541
A0A0B4KEG9	P48960
Q80WM9	O75509
Q9U1W1	Q05BK6
Q9VZN4	Q8IYN0
O18412	Q8IWA4
Q966G8	Q7RTV2
Q95XZ0	Q95TN4	J3KNI1
Q19826	P52434
Q9U1H8	Q9Y256
G5EE25	Q8TF76
Q9Y0H4	Q8IVU3
Q95SF2	Q9NUU7
P11609	Q860B5
Q9VP02	Q96C23
G5EBK4	O95352
Q95SN5	Q7Z4F1
Q9VI65	Q8N336
Q9VN56	Q6IV72
Q9W3X8	Q9Y383
Q8SYM9	P05423
Q8SZX1	Q53G26
Q9W1B3	Q21266
Q7JQT8	Q13227
Q9VCJ6	Q3SX64
P45968	Q99549
P34480	Q9Y303
Q9QXJ2	P51692
Q20027	O95992
B4F5R3	Q96ST2
Q9W3T3	Q9UID6
Q9VUQ8	Q92564
Q9W5Q1	Q12972
Q86MI0	Q01826
Q9VXZ0	P17568
A1Z9I5	Q8IWW6
O16011-3	Q86VM6
Q9VWP6	P04085
A1Z6G4	Q96ND0
Q9VQU7	Q7RTY1
Q9U5C2	Q86UV6
P52172	Q3S1J8
Q9V668	P60059
Q6PGL7	Q9Y4E1
G5EEX3	Q96DN2
P52800	P52803
Q9VGR2	Q7L592
P32870	O60266
Q9V597	P62899
Q09301	Q9V3L6	Q86U42
Q9VQY8	Q5VIR6
Q9VT40	O60934
Q9W4W7	Q96GD3
Q9VVA8	P61165
Q9V8P9	Q9NS56
P54358	P09884
Q9VLT7	J3KQN4
P30115	P21266	Q7JVZ8	G5EC71
A5PEX6	Q93009
Q9VHN5	J3KQ47
Q9VD44	O17087	Q9NVV4
Q9VA54	Q9UQ90
Q9VZF0	Q96NC0
Q17675	Q9Y5Y0
Q9VL14	O60519
Q9W062	P55081
Q9VDE6	Q9Y2D4
Q9VT31	Q9Y4P9
Q9V558	Q27505	Q9HCS2
Q9VXJ9	P50616
P05031	Q8IVA8
Q9W0P9	Q9HCK0
Q9VIS4	Q9NX74
P48610	P17540
Q9VLM9	Q9H0R4
P35122	Q92560
Q9VUL1	P17812
Q9VJ29	Q9C0B7
Q9VE49	Q9GZU5
Q9VK06	Q4VNC1
Q9R0L9	Q04900
Q9V877	G5EGL7	O00139
Q9Z2F7	Q12983
Q9V3U9	Q9Y255
Q9W1Y8	Q96JI7
Q9VTU0	Q8N9T8
Q9VMY8	Q8IVW4
Q9VUN3	P84095
Q9W3X9	Q95QD9
Q94902	P78325
Q9VUF3	O95685
Q9VVI3	Q6IQ23
Q9V4D6	Q8NE63
Q9VAP3	Q8N4M1
Q961B3	Q86UY8
Q9NFU0	P35922	P51116
Q9W3W1	Q9ULV4
Q22559	Q9BXM0
O16927	P37108
Q92890	Q9VTF9	Q19584
A1Z6R4	P08697
Q8MKL0	Q7Z2K6
Q9VVA6	Q9Y266
Q9VQQ9	Q96KP1
Q9VVR1	Q9H9C5
Q9VG46	Q5W064
Q9V3K7	Q9UIC8
Q9VPD5	Q96E29
Q9EPL0	Q9H1B5
Q9V9Z1	Q9BYC8
Q9VN45	Q8N0X7
A1Z759	Q9BU70
Q9VFN9	Q9NX55
Q23529	Q9UJC3
Q9VK18	Q8N9M1
P52486	Q96LR5
Q9V470	E5KS60
Q8MSU4	Q92797
Q5U4C1	Q9UH62
O17824	Q8WWM9
Q9VMV7	O43257
Q9I7T7	Q92615
H7BX60	Q9NUX5
Q9VLB3	Q92959
Q9VEY1	Q9Y267
Q9W5P1	Q13503
O77260	Q9UPG8
Q9W4N6	O75832
Q9VBI4	Q8IYI6
G5ED30	Q9BQJ4
Q9XWN2	Q8TES7
Q3UND0	Q86WV1
Q9VDS6	O75683
Q9W3S4	Q9UGU5
V6CJI3	Q8N4Q1
Q9W1I6	Q8WVK2
Q8IPM8	O14810
Q9VKC7	Q96DZ1
Q62388	Q9VXG8	Q13315
Q9VAG9	O95861
Q9VJ39	Q9NZ08
Q7KN94	P13804
Q9VI25	Q9UBB6
Q24524	Q16658
Q3TVI8	Q96AQ6
Q9V491	Q9Y4D7
Q23083	Q9BTU6
Q8IMU0	Q3YBR2
Q9VQK8	O95568
P97432	Q14596
Q8IQA7	O75874
Q9VYX5	Q9NWH2
Q0E938	Q9NYF5
Q9GU23	Q6IBE6
Q7KMH9	B3KQF8
Q8T4A8	Q15661
Q7JZ37	Q96FK6
Q8SXS0	Q8N511
Q6NN55	Q96N66
Q8T913	Q9NW38
Q9VXD6	Q19293
Q9VHR6	O75143
Q94899	O00231
Q9VWF8	Q9H6F5
Q8IN89	A9UJN4
Q9VIE3	Q9NZU5
O44770	O60303
Q4V3U8	P35030
Q9D8Y7	A0A1B0GTK8
Q9VX63	Q7Z478
Q5EE38	Q96AP0
Q9VY76	Q01432
Q7KVY7	O75558
Q9XVS0	Q7L5A8
Q9VHX5	Q21453
Q9W0S6	Q9NRX2
Q9VUA0	Q21827
Q8SYU0	Q86WV7
Q9VXS6	O75764
Q9W086	Q9H2W6
O62519	Q8NFU5
Q9W4E8	Q8NI51
Q9VGE7	Q8IW92
Q0KIB1	O75147
Q9W334	P62857
Q95QG7	Q96B26
Q9NHP1	O60716
P19426	P92204
Q9VCX7	Q7KZ85
P90754	Q13822
Q9U8D0	P50336
Q9D7R2	Q969W9
Q3U0V2	Q15628
P0C0S6	A4FTV9
P91482	Q96D59
Q9ERS2	Q9P0J0
Q961A8	O95340
Q7KT79	Q9NR11
Q9VF77	Q99598
Q19341	P46952
Q9VDH1	Q86D10
A8DYE2	Q93971
Q9XWK2	Q9VP29	Q9BVG4
H2L010	P0C7H9
Q9VAD3	Q96RL7
P37236	P35243
Q9NAH7	Q9Y478
Q9VTW0	P52788
Q9VA61	O15460
Q9VB35	Q6UWL6
P63101	P62258
Q9VZU7	P45974
Q8I103	Q9UDY2
Q9VNL4	A8MXD5
Q8MT58	Q96KP4
Q9VMD3	Q9Y5R4
Q8SY35	P00742
Q9VA18	Q9NX63
Q9VZJ3	G5ED60	Q96EZ8
Q19101	Q9VYY9	P97366	A0A0G2JMF6
Q60769	P21580
Q9NH72	Q13283
Q21301	Q5VZK9
Q9JJD0	Q96EK4
Q8N451	Q9VYA4	Q19684
Q9VGU5	Q96N46
Q9W1D9	Q9H4L5
Q9I7P8	Q16775
Q0KI85	P11464
P08111	Q9Y2K9
Q9NH11	P60842
A1ZAJ8	A0A140T8Z8
Q9XW70	Q8IWZ6
Q9VII9	Q8IY44
Q3URD3	Q9W5R5	Q14BN4
Q19988	Q6NSJ5
O88508	Q9Y6K1
Q9VDU2	O95573
Q86PD7	Q16769
Q9VW25	Q9NTX7
Q9VVE2	Q9GZN7
Q9VMH8	O60925
Q02334	Q96G79
Q9VR15	O43240
Q05733	Q05329
P32748	Q02127
Q22977	Q8IQ02	Q7RTS6
P46561	P15313
Q7K486	Q6NXE6
Q9VVC5	Q96HY7
Q9VIW3	Q0VAA2
Q93459	Q9VJI9	Q8TB37
O96695	P50748
Q9D0P7	Q6PGN9
Q9VM75	Q9H583
Q95QW0	Q9VTU4	B0QY89
Q19555	Q8N3U4
Q9W0R0	P10244
Q9VBK2	Q9Y289
P29503	Q96JN8
Q9VTE0	Q6QNY1
Q00796	Q0E9G4	Q23624
Q9U3W6	Q9Y586
Q9VAQ9	O62265	Q9HDC9
P34692	Q9BSU1
Q8IMH4	P07602
Q9VFP8	Q9NVM4
Q9VJP2	P31629
Q7K4B3	P43034
Q3UYC8	Q9H2P0
Q8SXU3	Q9Y5P6
Q9VAD6	P83436
Q86BN8	Q8WUK0
Q9VZM5	Q9H6U8
Q8SZG4	Q8IU80
Q9VI74	Q6PI26
Q9VJG5	Q9NRB3
Q9VJP9	Q9UBK9
Q8MT08	O95995
Q9VBN1	P98095
Q925B0	Q96IZ0
P51406	Q13895
Q9VAS3	Q86V24
Q9VAA0	H2L061
P15364	Q9BWV1
Q7JQY8	Q7Z3I0
P52717	Q9H3G5
Q8ML92	Q8N8I0
O70145	Q86UR1
Q64451	Q1MSW8
Q9XTB5	Q9Y2U8
Q9CW79	Q7K4K7	Q92805
Q9VR35	Q9XW13
Q9VE51	Q5TA45
A1Z7T1	Q9NQU5
P49070	P49069
O76462	Q96GS6
Q8SXM3	P24928
Q8SZY7	Q9Y217
P54360	Q86VR8
Q61062	Q155Q3
Q9VH72	P30043
Q9VPN8	Q92876
Q9VRX0	Q15935
Q9VFS4	Q96G28
A1ZB77	Q68E05
P18831	P02458
Q24161	Q9UC07
Q9VHN3	Q6NVV7
Q9VT49	P50479
P49847	Q9Y6J9
Q9VHN6	P49406
Q8SXC2	Q16773
Q9U2G4	Q14671
Q95TU3	Q96GQ7
Q9VSK6	Q96HA7
P25118	P19438
Q9VZM7	Q9NVR2
Q18782	Q86UK7
Q8SXR1	P05090
Q9V9Z3	O95749
Q9VH02	Q6PIS1
Q9TW74	Q8TE73
Q7K4N3	Q09161
Q9W2F4	O45083
A1Z8W8	Q99418
O97183	O15160
Q24207	Q13151
O62444	Q6PL24
O54724	O95810
Q8CBC4	Q6PJW8
Q86P36	Q96F81
Q9W403	Q9UNY5
Q8T972	Q9H832
Q9VZZ8	Q8TC29
Q9VJM6	Q96L03
G5ECA0	B1AH49
Q9V9Q6	Q9H4E7
Q94129	Q15465
Q9VA09	O43306
Q8SY24	Q9BQ24
Q8T3X1	Q13148
P37161	Q8IXA5
Q9VWA0	Q9ULL5
Q9VKB3	O14717
Q8BXV2	Q8WY22
Q9VIB5	O16497
Q7JUS1	V9HW40
Q7K137	Q9UQQ2
Q95TK6	Q9NXG9
Q9XWS0	Q96BD8
A1ZB72	O17234
Q811T9	Q9NRI5
Q9VIM6	H2KZH8
Q9VXV3	O18191
Q9VFW8	P09960
Q9VMM2	Q8N608
Q86NP2	Q9H3P2
Q94887	Q19617	Q9C0A0
Q9VNP7	Q9UPY5
Q9VEF4	Q9UJL9
Q9VRJ7	O75127
Q9VGQ2	Q9P298
Q9VND2	Q96SD1
Q9VPJ7	Q2M3G0
Q7KIF8	Q9UI26
Q8T3Z0	Q9BXF9
G5EDZ2	P11172
Q9U5L1	P08240
Q8MQ22	Q9H6U6
P91182	O14936	Q9JLB0	Q95YH6
P97480	Q99504
Q9VXX8	P61927
Q9VHR4	Q8N393
Q8T3L1	Q9ULC5
Q9XX56	P48304
O08532	Q06033
P90815	Q5TAL4
Q20476	Q8TBC3
P55841	A8K3Q9
Q9VIT1	Q8N7E2
Q7JRK7	Q6PJ22
Q9XUE6	O15305
Q9VB21	O44131
Q26263	Q96HZ4
Q7K4A1	O43868
Q9V784	Q9Y512
O46050	Q96D46
Q961G6	O75909
Q9VUJ2	O95980
Q9VEB3	Q9H7B2
Q9VEU6	P51828
Q9VP78	Q05084
Q7JWU9	Q9GZU8
Q8R0W1	Q9C0C6
Q22544	Q9Y3Q8
Q9VT75	Q6P4J0
G5EG22	P54105
Q7K9H6	Q13615
Q9W0M4	P51572
Q9VQW1	Q7Z3B1
O02286	Q7JXB5	P35558
O02217	Q969Q6
P08207	Q5T7Y6
Q99KI0	Q23500	Q9VCV4	P21399
Q9VTV4	Q7Z6J9
Q9U8L5	Q22292	Q96SF7
Q9VV76	Q9UNK0
A1ZAK4	P35659
Q9VRQ7	P56282
Q9VWH2	Q9BSY9
Q9VMX3	P19387
Q9VLF5	P06681
Q9W4Z2	Q6P1L8
A1Z7H8	P00736
Q08605	Q5TC79
O46036	Q9UBQ7
Q09596	P08263
E9Q557	Q03427	Q21067	P13647
O02088	Q1MX18
Q960C7	O16971	Q99714
Q8VHQ4	P60763
Q9W1W0	Q6P1M0
Q8MMD3	Q9NZN4
Q8C5W4	Q8TE76
Q9Y1A3	Q9Y5L4
Q8T8R1	P62633
Q9VS59	Q53H80
O46108	Q5VYY2
Q22198	P46527
Q9VEH4	Q7RTR2
Q9VLV5	Q9XTU6	P62304
Q9W2R1	Q9NR19
Q9W1V2	Q96M29
Q9VZI4	O43822
Q8IR72	Q9WVK0	Q6RW13
P46223	Q966C6	P55769
Q4JK59	M9NEY8	Q7LFL8
Q18264	Q92545
Q61337	Q92934
Q9VZ07	Q92845
Q9VQY9	O62193	Q9Y248
Q80TJ1	Q86UW7
P51022	P78545
Q03573	Q9VIU5	O60308
P31725	P25815
P35330	P13598
Q9W445	Q9ULC4
Q22183	P53420
Q9CQJ4	Q06587
P00334	Q96NR8
Q9Y0Y2	P30520
P34653	Q95RR8	Q58A45
Q9XU63	Q86UW1
Q18090	Q9VF44	O96008
P52927	P52926
Q966C7	Q9W1G0	P37837
P15314	Q13568
P29691	Q6IBM8
Q9VFU7	P40199
Q9W345	Q8IYP9
Q9V6K1	P29144
Q9W1S2	Q9UIF9
Q24468	P35626
Q5U160	Q6P3X3
Q9VGH2	Q86UN3
Q9VWQ6	Q9BY77
O18332	P84085
A1ZBE0	Q23012
Q9VYG2	Q21177	Q61466	Q96GM5
Q9GYN3	P49753
Q9VNS2	Q9NP61
Q8T965	P61758
Q9VXP4	P68402
Q7JWR9	Q8WU90
Q9VC93	Q8IYB7
Q9WUB0	Q9H0F6
E2QCS7	P07098
Q9VUH1	P42658
Q8MLV1	O76062
Q8IR14	Q9BUZ4
Q7JUX2	Q9HC62
O54714	Q8N2W9
Q9VWD1	P14854
O43809	Q9VSY2	Q93716
Q21777	Q24266	Q9HCG1
Q9VPD9	Q5SR56
Q86BA1	Q8N3F8
Q9VIE1	Q9Y4P8
Q9VSV1	Q9Y2W3
Q9VXC1	H0Y592
Q9U2M7	P50583
P54623	Q96SN8
Q8BFZ9	O75477
Q9VF80	Q9U1N6
O45491	M0QY76
O02195	O14727
Q9VZQ8	Q96SL4
Q17433	Q8WWF6
Q8IQH5	Q16206
P02517	P34328
Q8MSG8	Q7Z2E3
Q86B58	Q9Y337
O45686	Q13510
Q9VHX4	Q14722
Q9VDD1	Q96HY6
Q9NBW3	Q14790
Q9VJE7	O14990
Q9VL44	P07093
Q9GNK5	Q96LB9
Q7L5N1	Q9VCY3	C5VUK2
Q9VSJ2	Q49AM7
Q18240	Q8N831
Q0E8C8	P48594
P15619	Q92970
Q9VEC3	P42025
Q9V4B2	P61204
Q95T75	Q9XWE1	Q9NNZ3
Q9XZ16	Q8WVY7
Q64693	Q16633
Q9W3N6	G5EGG0
Q963J0	Q9P0X4
Q9VIP1	Q15543
Q8BMK4	Q07065
Q86NV3	O95633
Q8SYX2	Q9Y3D6
Q6A028	P08567
Q8T8V8	Q9XUV0	P40306
Q9VRD9	Q21080	P35520
Q9VCT5	Q9BPX6
Q9VGT3	Q18081
Q9VW68	P91408	Q8IUZ5
P55200	Q6AWG9	Q7Z5J4
Q9VID7	Q8N5M1
Q9W376	Q6IB11
Q9VXK7	O75251
Q9VQF4	P00558
A1ZA28	Q15649
Q21209	Q96Q27
Q9VM95	Q9NY61
Q9VXQ8	Q9NWS8
Q9D2C7	Q9VZ34	Q9H3K2
Q9W1C6	Q9UKZ1
P32865	O00444
Q95TP0	O75695
Q9VDQ7	Q14CX7
Q9VJJ9	Q5VTT5
Q95RU8	Q9H672
Q7K3Y9	Q9HCB6
Q9V4C9	O60315
O77431	Q69YQ0
Q2NL51	Q96PF2
Q95RH0	O95373
Q9VVL7	Q93379	P00390
Q7K0E3	Q7L9L4
Q9VPG0	P16444
Q9VUZ0	P43308
Q9VQK9	Q8IVQ6
Q8MSV2	Q15434
A4IJ70	Q58EX2
Q9VU18	Q8TC92
Q7TPV4	Q9BQG0
Q9CRT8	O43592
Q9VEG9	Q8IXM6
Q9V8W3	P31150
P05622	P11362
Q8IHA0	P02585
Q9VJU5	A6BM72
Q9W263	Q13136
Q9VDC1	Q9U2N7
Q17459	Q17RW2
Q9VV99	Q6PCD5
Q9CY24	Q7Z7N9
Q9VYE9	Q5VTL8
Q0E9G3	Q8WWB5
Q95U34	P51570
Q20117	P48506
Q8MLT4	Q9NYK1
Q7KQM6	O75420
Q80WJ7	Q86UE4
Q9VBN5	P61353
G5EC44	O60671
Q9VW53	Q9NPD3
Q9Z0P7	Q9VG38	Q9UMX1
Q9VPW1	Q2TB18
P07091	P05109
Q9VA45	P23588
Q9VDW3	Q7Z362
Q09967	Q92673
Q61781	P14136
Q7K3U4	G5ECJ8	Q01740
Q9VEV1	Q6DT37
Q8BKT8	Q99871
P83099	Q13627
H2L067	Q6ZN04
Q9VGG9	Q7Z333
Q22003	Q9VQX6	O96005
Q19782	Q14CN4
Q7K550	O75822
Q0E993	A0A0G2JIA5
Q9VST8	Q15070
Q9XUL7	P06734
Q5BIE4	Q09479
O16658	Q9Y2D2
Q9VBM1	O14950
Q8IGJ0	Q14156
Q9W4W6	O01879	P78381
Q9VSY7	Q15072
Q9VHK6	Q9H1K1
Q9VUM0	Q9UMP2
Q86TG1	O77262	Q93319
Q9VVW2	Q23333	P22309
Q9VYE7	P27987
Q23976	P12956
Q9U915	P54819
Q8STG6	O75051
Q0E9N4	Q8N5L8
Q10661	Q9VKQ9	Q9C005
Q20737	Q8WVD5
Q9W533	P46663
Q9W215	Q8IY57
Q9VE30	P24666
Q9U9D0	P10070
Q03347	Q9W349	Q13950
Q0E8E8	Q8N8R3
Q9U1J8	Q6PF04
Q9VYI5	Q8NFF5
P05049	P00751
Q9VBR0	Q9NPE2
H2L0I2	Q8CJ40	Q86T23
P13504	P27930
Q9W0H6	P09110
P51637	P51636
A1Z933	A0A087WZT3
Q9Y128	Q9BXB5
Q6NLM7	P49638
Q8MQW7	Q8IZD9
Q17711	A2VCK2
Q9VWE0	P28827
Q548P8	Q9NRM1
Q9VH95	Q15185
P20228	Q99259
Q8K4S1	Q9P212
Q21353	Q15758
G5EF41	O95395
Q9W0R8	Q9UBF8
Q9V7D2	Q8N5Z9
Q99LE1	Q969X0
Q3TTA7	Q9ULV8
O62203	Q15424
Q9JJ94	O43805
Q9VKU8	Q9UJJ7
Q7YWX7	Q5T9L3
Q24323	O75326
Q9W526	Q96S94
Q9VWF5	P41227
Q9VD13	O95208
Q7JZI2	P08962
Q9XYW6	P53804
Q9VHB1	O95563
O43670	Q9VJI6	Q9U3S8
O45060	Q6DKJ4
Q24595	Q01831
Q9VBU9	Q71UM5
Q93831	O96000
Q0KI00	Q0P5U8
Q9VQ08	P82987
B3GWA0	P23246
Q0E901	Q8N5G2
P34688	P02747
Q9W4J6	Q22554
Q9NFT2	Q9BSN4
Q76NQ9	P23109
P29844	Q53FA3
Q9VFZ4	Q13228
Q9NEF6	Q6PJ05
G5E8J6	P23327
Q9VAD0	Q23534
O18229	O95336
O15371	Q9VGC7	P30642
A1ZAX1	Q99613
Q9VCC4	Q9P0N9
G5EFQ4	O16844	P52732
Q9NBK5	Q15835
Q3UDK1	Q6GPH4
G5EEN7	O60232
Q8INR6	Q8TEK3
Q9VG51	Q9UMY4
P14434	P28068
Q9VPU9	Q96QC0
Q7YU91	Q6R327
Q9W115	Q86UD0
Q9VKZ7	Q969V3
Q7KTI0	O15120
Q9W433	Q99250
Q9V629	O77932
P18872	P51875	P09471
O46307	Q9H501
Q9U5E0	P54132
Q6NR36	Q8N5P9
Q9VTE7	Q6PHW0
Q9VXH9	Q2M389
Q23622	Q16650
Q920B9	Q9Y5B9
Q8T015	Q9UKJ5
Q8N0X2	Q7KNS3	Q9N4A7
Q9VGU6	P27144
O55176	Q8NG27
O76513	P51946
Q9V444	O45550	Q658N3
P63005	Q24572	Q86VZ2
Q9BIS2	A0A0G2JIW1
H2KZJ3	P51959
Q24558	Q9N3T2	P28715
P12114	Q9P218
Q31099	Q95460
Q9W070	O43529
O96017	Q9U2Q9
Q1ZXV0	Q9ULC3
Q9VKQ3	Q9Y263
Q8MYQ1	Q9VWQ2	Q61084	Q99759
Q9VNT5	Q16881
Q9VES8	Q5TC12
Q9VGH7	P51790
Q9VK51	Q8NFM4
Q961G1	Q2V0X4
Q9DBC7	P13861
Q8VCN6	Q8TCZ2
Q9N4G8	A1Z9M2	Q00765
Q9NBW1	Q92765
Q5NBX1	O75128
Q9VLR4	Q9H0R3
Q12792	Q9VFM9	Q20173
P70399	Q12888
Q9V3G6	Q9H9A5
Q9VPW9	Q9NUY8
A1ZAR2	Q18585	Q969W1
Q9CQY1	O94817
Q9R194	A0A0D2X7Z3
Q21753	P56597
Q94523	P31040
O61491	O75955
Q9XZ32	B0QYN7
Q9W425	Q8NBT0
Q7TSH4	O43303
Q7KN74	Q86TV6
P23242	Q96KN9
Q9VB17	Q9NTX5
G5ED00	Q9VLF0	O94779
Q9QYH9	O43557
Q95RL9	Q9C086
Q95QK5	Q96LT7
P91505	A1ZB71	Q16772
Q93560	Q9VTY7
Q8SXS3	Q9Y4F3
Q8MLZ5	Q8T498	P21359
Q8T0V6	P41996
A1Z9L3	Q9NP64
O75752	Q9VLS8	O62165
Q9V730	Q92935
Q9VZK2	Q52M93
Q7K1V0	P17029
Q9VNJ0	P78317
Q7K3G2	Q6ZTN6
Q95TJ9	F6WBC3
Q9V4F9	O95402
Q8IR26	Q96GF1
Q9VWQ1	Q9BSB4
Q17334	P07327
O18404	Q8N4T8
Q9VSW4	Q96E11
Q8MSX2	O75586
Q9VVU6	O94906
P62204	Q9VWX8	Q09665	P43080
Q4QPP9	O15525
Q9VI09	P30086
Q9VMI9	Q9NYA4
Q9VRE9	Q96LD8
P25446	P25445
Q9V9W8	Q9Y3Y4
Q9GZH6	Q06190
Q9VW73	Q6IAA8
Q9VHM7	Q9NYW8
A8JNC7	P19320
Q9V3T1	Q96NY9
Q9VIL2	O75391
Q9W4J4	Q13442
Q7KSC4	Q9Y5U8
Q9VAP9	Q9NZM4
Q9W401	O75390
O01426	Q9H9Y4
Q9VMX9	Q6ISP9
Q7K4H4	Q8IUF8
Q9GPQ1	P30041
G5EE33	O60503
Q9VM47	O00255
Q9W3K8	P84074
Q09961	P09774
Q8R3Z5	O01661	Q59GD3
O76454	P61457
Q9W351	Q9NRG9
O77459	Q8TBZ5
Q9W2N6	O15042
Q9W1R6	Q9UII2
Q09415	Q9W4X8	Q9H7B4
Q9DBZ2	Q53XS2
Q8SX35	Q68DV7
Q9VED8	O00115
Q9W0F9	Q96EH3
Q7K3L1	Q9P1A6
Q8CBI8	O96957	Q8TEH3
Q9NA76	Q96GM8
Q9VXH4	A8MV81
